account_id,activated_at,alive,died_at,death_trade_key,trades_taken,gross_pnl_usd,commission_usd,equity_profit_usd,gross_paid_usd,received_usd,payout_count
1,2023-01-01 00:00:00,True,,,539,800.0,565.95,234.05,0.0,0.0,0
2,2023-01-01 00:00:00,True,,,539,800.0,565.95,234.05,0.0,0.0,0
3,2023-01-01 00:00:00,True,,,1156,2908.5,1213.8,1694.7,0.0,0.0,0
4,2023-01-01 00:00:00,True,,,1156,2908.5,1213.8,1694.7,0.0,0.0,0
5,2023-01-01 00:00:00,True,,,4886,29428.0,5130.3,100.01,24197.69,24197.69,27
6,2023-01-01 00:00:00,True,,,4886,29428.0,5130.3,100.01,24197.69,24197.69,27
7,2023-01-01 00:00:00,True,,,191,-286.0,200.55,-486.55,0.0,0.0,0
8,2023-01-01 00:00:00,True,,,191,-286.0,200.55,-486.55,0.0,0.0,0
9,2023-01-01 00:00:00,True,,,160,232.5,168.0,64.5,0.0,0.0,0
10,2023-01-01 00:00:00,True,,,160,232.5,168.0,64.5,0.0,0.0,0
