account_id,cohort_month,activated_at,alive,died_at,death_reason,death_equity_usd,death_trade_key,lifetime_days,trades_taken,wins,losses,gross_pnl_usd,commission_usd,payout_count,requests_blocked,requests_withheld,withdrawn_usd,received_usd,months_accrued,entitlement_accrued_usd,entitlement_outstanding_usd,first_withdrawal_at,equity_profit_usd,balance_usd,max_equity_profit_usd,min_equity_profit_usd,peak_profit_usd,floor_profit_usd,headroom_usd
1,2020-01,2020-01-01 00:00:00,False,2020-03-13 03:10:40,intratrade_excursion,-90.75,RR1.00:2-3:21:75,72,376,162,213,494.5,393.75,0,0,2,0.0,0.0,2,1500.0,1500.0,,100.75,,1784.55,-389.65,1827.8,100.0,
2,2020-02,2020-02-01 00:00:00,False,2020-03-12 21:06:40,intratrade_excursion,-265.15,RR1.00:18-19:15:58,40,214,89,124,223.5,223.65,0,0,1,0.0,0.0,1,750.0,750.0,,-0.15,,1417.6,-756.6,1460.85,-39.15,
3,2020-03,2020-03-01 00:00:00,False,2020-03-12 21:06:40,intratrade_excursion,-524.0,RR1.00:18-19:15:58,11,61,22,38,-196.0,63.0,0,0,0,0.0,0.0,0,0.0,0.0,,-259.0,,1158.75,-524.0,1202.0,-298.0,
4,2020-04,2020-04-01 00:00:00,False,2026-03-23 03:37:40,intratrade_excursion,62.75,RR1.00:3-4:556:2077,2182,11588,4840,6747,42834.5,12166.35,18,10,43,30452.9,29907.6,71,53250.0,22797.1,2022-03-01 00:00:00,215.25,,8975.25,-170.6,8989.75,100.0,
5,2020-05,2020-05-01 00:00:00,False,2021-07-19 14:04:40,intratrade_excursion,92.45,RR1.00:12-13:127:477,444,2342,962,1379,2586.5,2458.05,0,0,14,0.0,0.0,14,10500.0,10500.0,,128.45,,3289.0,-125.1,3341.95,100.0,
6,2020-06,2020-06-01 00:00:00,False,2020-10-05 20:56:40,intratrade_excursion,-348.15,RR1.00:19-20:62:241,126,674,281,392,417.0,706.65,0,0,4,0.0,0.0,4,3000.0,3000.0,,-289.65,,1123.9,-1043.35,1164.9,-335.1,
7,2020-07,2020-07-01 00:00:00,False,2020-10-06 23:30:00,intratrade_excursion,-29.1,RR1.00:22-23:55:219,97,513,217,295,707.5,537.6,0,0,3,0.0,0.0,3,2250.0,2250.0,,169.9,,1785.4,-381.85,1826.4,100.0,
8,2020-08,2020-08-01 00:00:00,False,2020-10-05 20:56:40,intratrade_excursion,-235.75,RR1.00:19-20:62:241,65,346,148,197,185.0,362.25,0,0,2,0.0,0.0,2,1500.0,1500.0,,-177.25,,1236.3,-235.75,1277.3,-222.7,
9,2020-09,2020-09-01 00:00:00,False,2020-10-05 20:56:40,intratrade_excursion,-563.85,RR1.00:19-20:62:241,34,178,76,101,-319.5,185.85,0,0,1,0.0,0.0,1,750.0,750.0,,-505.35,,908.2,-563.85,949.2,-550.8,
10,2020-10,2020-10-01 00:00:00,False,2020-12-14 07:13:40,intratrade_excursion,-168.75,RR1.00:2-3:94:338,74,406,161,244,294.0,425.25,0,0,2,0.0,0.0,2,1500.0,1500.0,,-131.25,,1336.1,-1224.85,1360.65,-139.35,
11,2020-11,2020-11-01 00:00:00,False,2020-12-14 07:13:40,intratrade_excursion,-322.2,RR1.00:2-3:94:338,43,235,89,145,-39.0,245.7,0,0,1,0.0,0.0,1,750.0,750.0,,-284.7,,1182.65,-322.2,1207.2,-292.8,
12,2020-12,2020-12-01 00:00:00,False,2021-02-18 12:46:40,intratrade_excursion,-893.8,RR1.00:10-11:106:379,79,437,169,267,-362.5,457.8,0,0,2,0.0,0.0,2,1500.0,1500.0,,-820.3,,531.25,-893.8,606.8,-893.2,
