account_id,cohort_month,activated_at,alive,died_at,death_reason,death_equity_usd,death_trade_key,lifetime_days,trades_taken,wins,losses,gross_pnl_usd,commission_usd,payout_count,requests_blocked,requests_withheld,withdrawn_usd,received_usd,months_accrued,entitlement_accrued_usd,entitlement_outstanding_usd,first_withdrawal_at,equity_profit_usd,balance_usd,max_equity_profit_usd,min_equity_profit_usd,peak_profit_usd,floor_profit_usd,headroom_usd
1,2020-01,2020-01-01 00:00:00,False,2020-03-13 03:10:40,intratrade_excursion,-90.75,RR1.00:2-3:21:75,72,376,162,213,494.5,393.75,0,5,1,0.0,0.0,0,0.0,0.0,,100.75,,1784.55,-389.65,1827.8,100.0,
2,2020-02,2020-02-01 00:00:00,False,2020-03-12 21:06:40,intratrade_excursion,-265.15,RR1.00:18-19:15:58,40,214,89,124,223.5,223.65,0,1,1,0.0,0.0,0,0.0,0.0,,-0.15,,1417.6,-756.6,1460.85,-39.15,
3,2020-03,2020-03-01 00:00:00,False,2020-03-12 21:06:40,intratrade_excursion,-524.0,RR1.00:18-19:15:58,11,61,22,38,-196.0,63.0,0,0,0,0.0,0.0,0,0.0,0.0,,-259.0,,1158.75,-524.0,1202.0,-298.0,
4,2020-03,2020-03-13 00:00:00,False,2020-03-18 01:37:40,intratrade_excursion,-988.35,RR1.00:19-20:16:62,5,8,3,4,-653.0,7.35,0,0,0,0.0,0.0,0,0.0,0.0,,-660.35,,420.3,-988.35,642.3,-857.7,
5,2020-03,2020-03-13 00:00:00,False,2020-03-18 01:37:40,intratrade_excursion,-988.35,RR1.00:19-20:16:62,5,8,3,4,-653.0,7.35,0,0,0,0.0,0.0,0,0.0,0.0,,-660.35,,420.3,-988.35,642.3,-857.7,
6,2020-03,2020-03-14 00:00:00,False,2020-03-18 01:37:40,intratrade_excursion,-1408.65,RR1.00:19-20:16:62,4,4,0,3,-1077.5,3.15,0,0,0,0.0,0.0,0,0.0,0.0,,-1080.65,,0.0,-1408.65,222.0,-1278.0,
7,2020-03,2020-03-19 00:00:00,False,2020-03-19 22:44:40,intratrade_excursion,-1413.4,RR1.00:17-18:16:66,0,9,1,7,-1032.0,8.4,0,0,0,0.0,0.0,0,0.0,0.0,,-1040.4,,180.45,-1413.4,265.0,-1235.0,
8,2020-03,2020-03-19 00:00:00,False,2020-03-19 22:44:40,intratrade_excursion,-1413.4,RR1.00:17-18:16:66,0,9,1,7,-1032.0,8.4,0,0,0,0.0,0.0,0,0.0,0.0,,-1040.4,,180.45,-1413.4,265.0,-1235.0,
9,2020-03,2020-03-19 00:00:00,False,2020-03-19 22:44:40,intratrade_excursion,-1413.4,RR1.00:17-18:16:66,0,9,1,7,-1032.0,8.4,0,0,0,0.0,0.0,0,0.0,0.0,,-1040.4,,180.45,-1413.4,265.0,-1235.0,
10,2020-03,2020-03-20 00:00:00,False,2020-06-26 22:52:40,intratrade_excursion,30.95,RR1.00:22-23:35:142,98,511,223,287,3341.0,535.5,3,9,0,2691.55,2691.55,0,0.0,0.0,2020-04-27 00:00:00,113.95,,2207.7,-67.0,2210.75,100.0,
11,2020-03,2020-03-20 00:00:00,False,2020-06-26 22:52:40,intratrade_excursion,30.95,RR1.00:22-23:35:142,98,511,223,287,3341.0,535.5,3,9,0,2691.55,2691.55,0,0.0,0.0,2020-04-27 00:00:00,113.95,,2207.7,-67.0,2210.75,100.0,
12,2020-03,2020-03-20 00:00:00,False,2020-06-26 22:52:40,intratrade_excursion,30.95,RR1.00:22-23:35:142,98,511,223,287,3341.0,535.5,3,9,0,2691.55,2691.55,0,0.0,0.0,2020-04-27 00:00:00,113.95,,2207.7,-67.0,2210.75,100.0,
13,2020-04,2020-04-01 00:00:00,False,2020-06-26 22:52:40,intratrade_excursion,30.95,RR1.00:22-23:35:142,86,452,196,255,2020.0,473.55,1,7,0,1432.5,1432.5,0,0.0,0.0,2020-05-25 00:00:00,113.95,,2626.65,-170.6,2652.15,100.0,
14,2020-05,2020-05-01 00:00:00,False,2020-09-22 09:20:40,intratrade_excursion,33.4,RR1.00:9-10:64:240,144,743,318,424,2000.5,779.1,1,16,0,1115.5,1115.5,0,0.0,0.0,2020-09-07 00:00:00,105.9,,2215.5,-125.1,2347.6,100.0,
15,2020-06,2020-06-01 00:00:00,False,2020-10-05 20:56:40,intratrade_excursion,-348.15,RR1.00:19-20:62:241,126,674,281,392,417.0,706.65,0,6,8,0.0,0.0,0,0.0,0.0,,-289.65,,1123.9,-1043.35,1164.9,-335.1,
16,2020-06,2020-06-27 00:00:00,False,2020-09-22 09:20:40,intratrade_excursion,33.4,RR1.00:9-10:64:240,87,450,193,256,1262.0,471.45,1,11,0,684.65,684.65,0,0.0,0.0,2020-09-07 00:00:00,105.9,,1784.65,-82.7,1916.75,100.0,
17,2020-06,2020-06-27 00:00:00,False,2020-09-22 09:20:40,intratrade_excursion,33.4,RR1.00:9-10:64:240,87,450,193,256,1262.0,471.45,1,11,0,684.65,684.65,0,0.0,0.0,2020-09-07 00:00:00,105.9,,1784.65,-82.7,1916.75,100.0,
18,2020-06,2020-06-27 00:00:00,False,2020-09-22 09:20:40,intratrade_excursion,33.4,RR1.00:9-10:64:240,87,450,193,256,1262.0,471.45,1,11,0,684.65,684.65,0,0.0,0.0,2020-09-07 00:00:00,105.9,,1784.65,-82.7,1916.75,100.0,
19,2020-06,2020-06-27 00:00:00,False,2020-09-22 09:20:40,intratrade_excursion,33.4,RR1.00:9-10:64:240,87,450,193,256,1262.0,471.45,1,11,0,684.65,684.65,0,0.0,0.0,2020-09-07 00:00:00,105.9,,1784.65,-82.7,1916.75,100.0,
20,2020-07,2020-07-01 00:00:00,False,2020-10-06 23:30:00,intratrade_excursion,-29.1,RR1.00:22-23:55:219,97,513,217,295,707.5,537.6,0,10,0,0.0,0.0,0,0.0,0.0,,169.9,,1785.4,-381.85,1826.4,100.0,
21,2020-08,2020-08-01 00:00:00,False,2020-10-05 20:56:40,intratrade_excursion,-235.75,RR1.00:19-20:62:241,65,346,148,197,185.0,362.25,0,4,1,0.0,0.0,0,0.0,0.0,,-177.25,,1236.3,-235.75,1277.3,-222.7,
22,2020-09,2020-09-01 00:00:00,False,2020-10-05 20:56:40,intratrade_excursion,-563.85,RR1.00:19-20:62:241,34,178,76,101,-319.5,185.85,0,0,1,0.0,0.0,0,0.0,0.0,,-505.35,,908.2,-563.85,949.2,-550.8,
23,2020-09,2020-09-23 00:00:00,False,2020-10-07 09:00:00,intratrade_excursion,-808.85,RR1.00:2-3:75:262,14,78,28,49,-682.5,80.85,0,0,1,0.0,0.0,0,0.0,0.0,,-763.35,,718.65,-808.85,728.15,-771.85,
24,2020-09,2020-09-23 00:00:00,False,2020-10-07 09:00:00,intratrade_excursion,-808.85,RR1.00:2-3:75:262,14,78,28,49,-682.5,80.85,0,0,1,0.0,0.0,0,0.0,0.0,,-763.35,,718.65,-808.85,728.15,-771.85,
25,2020-09,2020-09-23 00:00:00,False,2020-10-07 09:00:00,intratrade_excursion,-808.85,RR1.00:2-3:75:262,14,78,28,49,-682.5,80.85,0,0,1,0.0,0.0,0,0.0,0.0,,-763.35,,718.65,-808.85,728.15,-771.85,
26,2020-09,2020-09-23 00:00:00,False,2020-10-07 09:00:00,intratrade_excursion,-808.85,RR1.00:2-3:75:262,14,78,28,49,-682.5,80.85,0,0,1,0.0,0.0,0,0.0,0.0,,-763.35,,718.65,-808.85,728.15,-771.85,
27,2020-09,2020-09-23 00:00:00,False,2020-10-07 09:00:00,intratrade_excursion,-808.85,RR1.00:2-3:75:262,14,78,28,49,-682.5,80.85,0,0,1,0.0,0.0,0,0.0,0.0,,-763.35,,718.65,-808.85,728.15,-771.85,
28,2020-10,2020-10-01 00:00:00,False,2020-12-14 07:13:40,intratrade_excursion,-168.75,RR1.00:2-3:94:338,74,406,161,244,294.0,425.25,0,6,1,0.0,0.0,0,0.0,0.0,,-131.25,,1336.1,-1224.85,1360.65,-139.35,
29,2020-10,2020-10-06 00:00:00,False,2021-02-26 22:59:40,intratrade_excursion,-11.05,RR1.00:21-22:110:381,143,792,325,466,961.5,830.55,0,17,0,0.0,0.0,0,0.0,0.0,,130.95,,2080.0,-480.95,2104.55,100.0,
30,2020-10,2020-10-06 00:00:00,False,2021-02-26 22:59:40,intratrade_excursion,-11.05,RR1.00:21-22:110:381,143,792,325,466,961.5,830.55,0,17,0,0.0,0.0,0,0.0,0.0,,130.95,,2080.0,-480.95,2104.55,100.0,
31,2020-10,2020-10-06 00:00:00,False,2021-02-26 22:59:40,intratrade_excursion,-11.05,RR1.00:21-22:110:381,143,792,325,466,961.5,830.55,0,17,0,0.0,0.0,0,0.0,0.0,,130.95,,2080.0,-480.95,2104.55,100.0,
32,2020-10,2020-10-07 00:00:00,False,2020-11-11 04:30:00,intratrade_excursion,62.85,RR1.00:2-3:86:302,35,192,90,101,1447.0,200.55,1,1,0,1123.1,1123.1,0,0.0,0.0,2020-11-09 00:00:00,123.35,,2484.9,-76.05,2509.45,100.0,
33,2020-10,2020-10-08 00:00:00,False,2020-11-11 04:30:00,intratrade_excursion,62.85,RR1.00:2-3:86:302,34,184,85,98,1193.5,192.15,1,1,0,878.0,878.0,0,0.0,0.0,2020-11-09 00:00:00,123.35,,2239.8,0.0,2264.35,100.0,
34,2020-10,2020-10-08 00:00:00,False,2020-11-11 04:30:00,intratrade_excursion,62.85,RR1.00:2-3:86:302,34,184,85,98,1193.5,192.15,1,1,0,878.0,878.0,0,0.0,0.0,2020-11-09 00:00:00,123.35,,2239.8,0.0,2264.35,100.0,
35,2020-10,2020-10-08 00:00:00,False,2020-11-11 04:30:00,intratrade_excursion,62.85,RR1.00:2-3:86:302,34,184,85,98,1193.5,192.15,1,1,0,878.0,878.0,0,0.0,0.0,2020-11-09 00:00:00,123.35,,2239.8,0.0,2264.35,100.0,
36,2020-10,2020-10-08 00:00:00,False,2020-11-11 04:30:00,intratrade_excursion,62.85,RR1.00:2-3:86:302,34,184,85,98,1193.5,192.15,1,1,0,878.0,878.0,0,0.0,0.0,2020-11-09 00:00:00,123.35,,2239.8,0.0,2264.35,100.0,
37,2020-10,2020-10-08 00:00:00,False,2020-11-11 04:30:00,intratrade_excursion,62.85,RR1.00:2-3:86:302,34,184,85,98,1193.5,192.15,1,1,0,878.0,878.0,0,0.0,0.0,2020-11-09 00:00:00,123.35,,2239.8,0.0,2264.35,100.0,
38,2020-11,2020-11-01 00:00:00,False,2020-12-14 07:13:40,intratrade_excursion,-322.2,RR1.00:2-3:94:338,43,235,89,145,-39.0,245.7,0,0,2,0.0,0.0,0,0.0,0.0,,-284.7,,1182.65,-322.2,1207.2,-292.8,
39,2020-11,2020-11-12 00:00:00,False,2021-02-18 12:46:40,intratrade_excursion,-685.0,RR1.00:10-11:106:379,98,531,208,322,-55.0,556.5,0,1,10,0.0,0.0,0,0.0,0.0,,-611.5,,740.05,-685.0,815.6,-684.4,
40,2020-11,2020-11-12 00:00:00,False,2021-02-18 12:46:40,intratrade_excursion,-685.0,RR1.00:10-11:106:379,98,531,208,322,-55.0,556.5,0,1,10,0.0,0.0,0,0.0,0.0,,-611.5,,740.05,-685.0,815.6,-684.4,
