months,budget,gg_lower,gg_higher,periods,gg_low_failed,gg_high_failed,gg_both,gg_low_only,gg_high_only,gg_jaccard,gg_reciprocal,all_four_fail,rr_complete_loss_periods_rescued,mean_seats_lost,delta_mean_seats_lost,at_least10,at_least15,all_four_cases,rescued_cases
1,1500,GG:0.50,GG:0.75,78,17,15,14,3,1,0.7777777777777778,True,4,2,3.3974358974358974,0.7051282051282048,16,11,1m_2025-03-01;1m_2025-04-01;1m_2026-02-01;1m_2026-06-01,1m_2022-06-01;1m_2024-07-01
1,1500,GG:0.50,GG:1.00,78,17,16,15,2,1,0.8333333333333334,True,6,0,3.4615384615384617,0.7692307692307692,15,11,1m_2022-06-01;1m_2024-07-01;1m_2025-03-01;1m_2025-04-01;1m_2026-02-01;1m_2026-06-01,
1,1500,GG:0.50,GG:1.25,78,17,16,14,3,2,0.7368421052631579,True,6,0,3.4615384615384617,0.7692307692307692,15,11,1m_2022-06-01;1m_2024-07-01;1m_2025-03-01;1m_2025-04-01;1m_2026-02-01;1m_2026-06-01,
1,1500,GG:0.50,GG:1.50,78,17,16,14,3,2,0.7368421052631579,True,6,0,3.4615384615384617,0.7692307692307692,15,11,1m_2022-06-01;1m_2024-07-01;1m_2025-03-01;1m_2025-04-01;1m_2026-02-01;1m_2026-06-01,
1,1500,GG:0.50,GG:1.75,78,17,18,14,3,4,0.6666666666666666,True,6,0,3.58974358974359,0.8974358974358974,16,10,1m_2022-06-01;1m_2024-07-01;1m_2025-03-01;1m_2025-04-01;1m_2026-02-01;1m_2026-06-01,
1,1500,GG:0.50,GG:2.00,78,17,17,14,3,3,0.7,True,6,0,3.5256410256410255,0.833333333333333,16,10,1m_2022-06-01;1m_2024-07-01;1m_2025-03-01;1m_2025-04-01;1m_2026-02-01;1m_2026-06-01,
1,1500,GG:0.50,GG:2.25,78,17,18,14,3,4,0.6666666666666666,True,6,0,3.58974358974359,0.8974358974358974,16,10,1m_2022-06-01;1m_2024-07-01;1m_2025-03-01;1m_2025-04-01;1m_2026-02-01;1m_2026-06-01,
1,1500,GG:0.50,GG:2.50,78,17,19,15,2,4,0.7142857142857143,True,6,0,3.6538461538461537,0.9615384615384612,16,11,1m_2022-06-01;1m_2024-07-01;1m_2025-03-01;1m_2025-04-01;1m_2026-02-01;1m_2026-06-01,
1,1500,GG:0.50,GG:2.75,78,17,19,15,2,4,0.7142857142857143,True,6,0,3.6538461538461537,0.9615384615384612,16,11,1m_2022-06-01;1m_2024-07-01;1m_2025-03-01;1m_2025-04-01;1m_2026-02-01;1m_2026-06-01,
1,1500,GG:0.50,GG:3.00,78,17,20,15,2,5,0.6818181818181818,True,6,0,3.717948717948718,1.0256410256410255,16,11,1m_2022-06-01;1m_2024-07-01;1m_2025-03-01;1m_2025-04-01;1m_2026-02-01;1m_2026-06-01,
