at,kind,amount_usd,cash_after_usd
2020-01-01T00:00:00,owner_contribution,5000,5000.0
2020-01-01T00:00:00,account_purchase,-600.0,4400.0
2020-02-01T00:00:00,owner_contribution,200,4600.0
2020-03-01T00:00:00,owner_contribution,200,4800.0
2020-04-01T00:00:00,owner_contribution,200,5000.0
2020-04-01T00:00:00,account_purchase,-600.0,4400.0
2020-05-01T00:00:00,owner_contribution,200,4600.0
2020-06-01T00:00:00,owner_contribution,200,4800.0
2020-07-01T00:00:00,owner_contribution,200,5000.0
2020-07-01T00:00:00,account_purchase,-600.0,4400.0
2020-08-01T00:00:00,owner_contribution,200,4600.0
2020-09-01T00:00:00,owner_contribution,200,4800.0
2020-10-01T00:00:00,owner_contribution,200,5000.0
2020-10-01T00:00:00,account_purchase,-600.0,4400.0
2020-11-01T00:00:00,owner_contribution,200,4600.0
2020-12-01T00:00:00,owner_contribution,200,4800.0
2021-01-01T00:00:00,owner_contribution,200,5000.0
2021-01-01T00:00:00,account_purchase,-600.0,4400.0
2021-02-01T00:00:00,owner_contribution,200,4600.0
2021-03-01T00:00:00,owner_contribution,200,4800.0
2021-04-01T00:00:00,owner_contribution,200,5000.0
2021-04-01T00:00:00,account_purchase,-600.0,4400.0
2021-05-01T00:00:00,owner_contribution,200,4600.0
2021-06-01T00:00:00,owner_contribution,200,4800.0
2021-07-01T00:00:00,owner_contribution,200,5000.0
2021-07-01T00:00:00,account_purchase,-600.0,4400.0
2021-08-01T00:00:00,owner_contribution,200,4600.0
2021-09-01T00:00:00,owner_contribution,200,4800.0
2021-10-01T00:00:00,owner_contribution,200,5000.0
2021-10-01T00:00:00,account_purchase,-600.0,4400.0
2021-11-01T00:00:00,owner_contribution,200,4600.0
2021-12-01T00:00:00,owner_contribution,200,4800.0
2022-01-01T00:00:00,owner_contribution,200,5000.0
2022-01-01T00:00:00,account_purchase,-600.0,4400.0
2022-02-01T00:00:00,owner_contribution,200,4600.0
2022-02-28T00:00:00,payout_received,747.55,5347.55
2022-02-28T00:00:00,payout_received,747.55,6095.1
2022-02-28T00:00:00,payout_received,747.55,6842.65
2022-03-01T00:00:00,owner_contribution,200,7042.65
2022-04-01T00:00:00,owner_contribution,200,7242.65
2022-04-01T00:00:00,account_purchase,-600.0,6642.65
2022-04-04T00:00:00,payout_received,833.8,7476.45
2022-04-04T00:00:00,payout_received,833.8,8310.25
2022-04-04T00:00:00,payout_received,833.8,9144.05
2022-04-11T00:00:00,payout_received,1014.25,10158.3
2022-04-11T00:00:00,payout_received,1014.25,11172.55
2022-04-11T00:00:00,payout_received,1014.25,12186.8
2022-04-18T00:00:00,payout_received,1106.15,13292.95
2022-04-18T00:00:00,payout_received,1106.15,14399.1
2022-04-18T00:00:00,payout_received,1106.15,15505.25
2022-04-25T00:00:00,payout_received,1500.0,17005.25
2022-04-25T00:00:00,payout_received,1500.0,18505.25
2022-04-25T00:00:00,payout_received,1500.0,20005.25
2022-04-25T00:00:00,payout_received,1043.0,21048.25
2022-04-25T00:00:00,payout_received,1043.0,22091.25
2022-04-25T00:00:00,payout_received,1043.0,23134.25
2022-05-01T00:00:00,owner_contribution,200,23334.25
2022-06-01T00:00:00,owner_contribution,200,23534.25
2022-07-01T00:00:00,owner_contribution,200,23734.25
2022-07-01T00:00:00,account_purchase,-600.0,23134.25
2022-08-01T00:00:00,owner_contribution,200,23334.25
2022-09-01T00:00:00,owner_contribution,200,23534.25
2022-09-12T00:00:00,payout_received,584.5,24118.75
2022-09-12T00:00:00,payout_received,584.5,24703.25
2022-09-12T00:00:00,payout_received,584.5,25287.75
2022-10-01T00:00:00,owner_contribution,200,25487.75
2022-10-01T00:00:00,account_purchase,-600.0,24887.75
2022-10-03T00:00:00,payout_received,565.45,25453.2
2022-10-03T00:00:00,payout_received,565.45,26018.65
2022-10-03T00:00:00,payout_received,565.45,26584.1
2022-10-17T00:00:00,payout_received,802.4,27386.5
2022-10-17T00:00:00,payout_received,802.4,28188.9
2022-10-17T00:00:00,payout_received,802.4,28991.3
2022-10-17T00:00:00,payout_received,975.9,29967.2
2022-10-17T00:00:00,payout_received,975.9,30943.1
2022-10-17T00:00:00,payout_received,975.9,31919.0
2022-10-17T00:00:00,payout_received,912.45,32831.45
2022-10-17T00:00:00,payout_received,912.45,33743.9
2022-10-17T00:00:00,payout_received,912.45,34656.35
2022-10-24T00:00:00,payout_received,1314.2,35970.55
2022-10-24T00:00:00,payout_received,1314.2,37284.75
2022-10-24T00:00:00,payout_received,1314.2,38598.95
2022-11-01T00:00:00,owner_contribution,200,38798.95
2022-12-01T00:00:00,owner_contribution,200,38998.95
2023-01-01T00:00:00,owner_contribution,200,39198.95
2023-01-01T00:00:00,account_purchase,-600.0,38598.95
2023-02-01T00:00:00,owner_contribution,200,38798.95
2023-02-20T00:00:00,payout_received,599.7,39398.65
2023-02-20T00:00:00,payout_received,599.7,39998.35
2023-02-20T00:00:00,payout_received,599.7,40598.05
2023-02-20T00:00:00,payout_received,599.7,41197.75
2023-02-20T00:00:00,payout_received,599.7,41797.45
2023-02-20T00:00:00,payout_received,599.7,42397.15
2023-02-20T00:00:00,payout_received,599.7,42996.85
2023-02-20T00:00:00,payout_received,599.7,43596.55
2023-02-20T00:00:00,payout_received,599.7,44196.25
2023-03-01T00:00:00,owner_contribution,200,44396.25
2023-03-27T00:00:00,payout_received,831.0,45227.25
2023-03-27T00:00:00,payout_received,831.0,46058.25
2023-03-27T00:00:00,payout_received,831.0,46889.25
2023-03-27T00:00:00,payout_received,1059.25,47948.5
2023-03-27T00:00:00,payout_received,1059.25,49007.75
2023-03-27T00:00:00,payout_received,1059.25,50067.0
2023-03-27T00:00:00,payout_received,1059.25,51126.25
2023-03-27T00:00:00,payout_received,1059.25,52185.5
2023-03-27T00:00:00,payout_received,1059.25,53244.75
2023-03-27T00:00:00,payout_received,1059.25,54304.0
2023-03-27T00:00:00,payout_received,1059.25,55363.25
2023-03-27T00:00:00,payout_received,1059.25,56422.5
2023-03-27T00:00:00,payout_received,672.85,57095.35
2023-03-27T00:00:00,payout_received,672.85,57768.2
2023-03-27T00:00:00,payout_received,672.85,58441.05
2023-04-01T00:00:00,owner_contribution,200,58641.05
2023-04-01T00:00:00,account_purchase,-400.0,58241.05
2023-04-10T00:00:00,payout_received,766.1,59007.15
2023-04-10T00:00:00,payout_received,766.1,59773.25
2023-04-10T00:00:00,payout_received,766.1,60539.35
2023-04-10T00:00:00,payout_received,766.1,61305.45
2023-04-10T00:00:00,payout_received,766.1,62071.55
